,epoch_mjd,a,e,i,om,w,ma,spkid,per_y,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_per,full_name,number_mp,designation
108,59800,1.812,0.3212,17.92,227.86,230.82,269.24,2005869,2.44,4.8e-08,6.3e-09,6.6e-06,1.2e-05,1.6e-05,4.6e-06,  5869 Tanith (1988 VN4),5869,Tanith (1988 VN4)
109,59800,1.625,0.289,21.57,145.84,355.78,262.31,2005879,2.07,3.9e-08,3e-09,3.8e-06,6.5e-06,1.3e-05,2.1e-06,  5879 Almeria (1992 CH1),5879,Almeria (1992 CH1)
110,59800,1.271,0.4995,3.5,182.36,242.18,59.68,2006037,1.43,3.6e-08,2e-09,3e-06,2.3e-05,2.4e-05,1.2e-06,  6037 (1988 EG),6037,(1988 EG)
111,59800,1.454,0.3522,23.48,6.08,103.82,152.92,2006047,1.75,4.3e-08,1.3e-09,1e-05,7e-06,1.3e-05,8.3e-07,  6047 (1991 TB1),6047,(1991 TB1)
112,59800,2.203,0.4371,6.4,88.18,284.98,152.03,2006050,3.27,2.9e-08,4.9e-09,3.3e-06,3e-05,3e-05,3.9e-06,  6050 Miwablock (1992 AE),6050,Miwablock (1992 AE)
113,59800,2.147,0.5285,21.58,318.25,74.89,191.43,2006053,3.15,2.2e-08,2e-09,5.1e-06,6.6e-06,9e-06,1.6e-06,  6053 (1993 BW3),6053,(1993 BW3)
114,59800,2.22,0.7633,4.96,169.06,337.63,221.67,2006063,3.31,7.3e-09,2.6e-09,1.4e-06,4.1e-05,4e-05,2.1e-06,  6063 Jason (1984 KB),6063,Jason (1984 KB)
115,59800,2.817,0.5837,4.31,64.51,127.39,247.92,2006178,4.73,2.2e-08,6e-09,4.5e-06,6.5e-05,6.5e-05,5.5e-06,  6178 (1986 DA),6178,(1986 DA)
116,59800,1.151,0.4127,3.94,344.57,239.69,306.04,2006239,1.24,2.1e-08,1e-09,2e-06,2.3e-05,2.3e-05,6e-07,  6239 Minos (1989 QF),6239,Minos (1989 QF)
117,59800,2.241,0.5723,37.34,26.9,262.82,354.84,2006455,3.35,2e-08,3.9e-09,8.4e-07,2.7e-06,3.2e-06,3.2e-06,  6455 (1992 HE),6455,(1992 HE)
118,59800,2.192,0.4094,8.23,313.57,347.14,92.14,2006456,3.25,2.8e-08,2.3e-09,3.5e-06,2e-05,2.1e-05,1.8e-06,  6456 Golombek (1992 OM),6456,Golombek (1992 OM)
119,59800,2.486,0.6124,2.27,209.48,68.67,310.84,2006489,3.92,2.4e-09,1.7e-09,6.2e-07,2.2e-05,2.3e-05,1.5e-06,  6489 Golevka (1991 JX),6489,Golevka (1991 JX)
120,59800,2.501,0.5904,5.95,301.9,323.64,303.71,2006491,3.96,3.9e-08,2.5e-08,1e-05,8.3e-05,8.4e-05,2.2e-05,  6491 (1991 OA),6491,(1991 OA)
121,59800,1.626,0.2206,22.64,111.48,167.34,8.79,2006569,2.07,2.4e-08,1.8e-09,3.5e-06,6.5e-06,1.1e-05,1.3e-06,  6569 Ondaatje (1993 MO),6569,Ondaatje (1993 MO)
122,59800,1.696,0.4847,8.7,230.77,281.63,317.99,2006611,2.21,2.8e-08,2.2e-09,4e-06,1.8e-05,1.8e-05,1.6e-06,  6611 (1993 VW),6611,(1993 VW)
123,59800,1.476,0.3149,12.61,146.61,323.45,294.93,2007025,1.79,1.9e-08,1.5e-09,4.4e-06,9.4e-06,1.2e-05,1e-06,  7025 (1993 QA),7025,(1993 QA)
124,59800,1.981,0.3898,8.3,102.62,354.76,349.05,2007088,2.79,2.3e-08,2.6e-09,3.2e-06,2.6e-05,2.7e-05,2e-06,  7088 Ishtar (1992 AA),7088,Ishtar (1992 AA)
